#otu-id	taxonomy	Confidence
1de5dade8cff39b37bc9c425f1458eaf	k__Fungi	0.9999999999999962
28aa261b04f1e18b21fdf0f4055f1154	k__Fungi	1.0000000000000027
a7394bbcd32874989f5af884c0d59584	k__Fungi	1.0000000000000007
0d52d9f53ede9b720f50fb51b70900e0	k__Fungi	0.9999999999999952
d4f32b26112cd7bccaa362c43ad50539	k__Fungi	0.9999999999999993
8abb8a09db91860374e7cfba88fa5065	k__Fungi	1.000000000000009
dd76a8b22437c83a23db5dfa2ff92d29	k__Fungi	1.0
4821276897c93bef2917b6b68e0f484d	k__Fungi	0.9999999999999923
8826761ba0c9f7b19def61d5ff42e8f5	k__Fungi	1.0000000000000016
991c8dc0cc024f6b7376247d20f51de4	k__Fungi	1.0000000000000104
ea1f0aef8dde2a22a6586bd0780b8cbd	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7632226649395399
92b5c95c4c65df4a5a284fc4af14bbed	k__Fungi	1.0
50c0437a3d5c8a2a22848176a5f690a8	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7340171290289618
d6f39bff1f1537c67115f343464a897e	k__Fungi	0.9999999999999889
0168b9c5aa84aa961bca9d6a034ea8c9	k__Fungi	1.0000000000000002
2b49f169b4ca4632f9eef88663721d75	k__Fungi	1.0000000000000062
23a77aea572aadff9a00f19c35f742b6	k__Fungi	0.9999999999999948
96d7a84257267807873323d7939f4286	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7856275791920377
87eb749a8f3f7771d76b1af37cc8a83e	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7448524724685441
5d2825bdd71c5cdebdac54d0faac0080	k__Fungi	1.0000000000000089
92d491b86e617a6f1f21c8ad04ae13a3	k__Fungi	1.0000000000000075
4e35f48b915703010c49f0d3b5329162	k__Fungi	0.9999999999999896
f627e365f5dcaa0cd255df4043964bea	k__Fungi;p__Ascomycota	0.7293740593113124
